age,gender,marks_10,marks_12,entrance_score,preferred_course,admitted,recommended_course
17,Female,54.4,68.4,51.9,Civil Engineering,1,Business Administration
18,Female,92.9,59.1,21.2,Computer Science,0,Not Admitted
17,Male,74.1,81.9,69.3,Electronics,1,Electronics
17,Other,76.6,95.8,66.0,Electronics,1,Electronics
19,Other,51.9,88.8,85.7,Computer Science,1,Computer Science
20,Other,96.9,93.9,35.7,Biotechnology,0,Not Admitted
16,Female,46.0,50.1,74.6,Civil Engineering,0,Not Admitted
16,Other,90.6,46.3,85.2,Electronics,1,Business Administration
19,Male,82.4,63.8,94.9,Civil Engineering,1,Biotechnology
18,Male,97.2,74.6,53.9,Mechanical Engineering,1,Business Administration
21,Male,67.3,65.1,82.1,Electronics,1,Civil Engineering
16,Female,68.2,85.5,80.4,Computer Science,1,Computer Science
20,Other,73.9,71.8,51.2,Mechanical Engineering,1,Business Administration
19,Male,66.0,45.6,92.4,Business Administration,1,Business Administration
17,Other,96.7,81.5,58.6,Civil Engineering,1,Electronics
20,Male,50.0,77.5,64.3,Business Administration,1,Business Administration
17,Other,87.2,51.1,94.5,Biotechnology,1,Business Administration
18,Other,74.7,68.8,91.0,Artificial Intelligence and Machine Learning,1,Civil Engineering
16,Male,97.3,82.2,87.0,Biotechnology,1,Computer Science
17,Other,49.5,82.9,25.8,Artificial Intelligence and Machine Learning,0,Not Admitted
20,Male,52.9,72.7,38.7,Biotechnology,0,Not Admitted
19,Female,88.9,96.2,98.9,Electronics,1,Computer Science
18,Female,49.5,87.0,64.7,Artificial Intelligence and Machine Learning,1,Electronics
17,Female,62.8,68.5,40.3,Artificial Intelligence and Machine Learning,0,Not Admitted
16,Other,85.0,86.4,85.8,Civil Engineering,1,Computer Science
16,Male,57.8,66.6,58.2,Biotechnology,1,Business Administration
20,Male,68.6,88.3,98.2,Business Administration,1,Computer Science
20,Other,93.1,73.5,99.4,Mechanical Engineering,1,Mechanical Engineering
21,Other,97.3,73.2,70.4,Business Administration,1,Mechanical Engineering
16,Other,98.8,82.6,50.7,Electronics,1,Business Administration
19,Male,96.8,48.1,51.6,Artificial Intelligence and Machine Learning,1,Business Administration
17,Male,55.2,70.0,48.3,Computer Science,1,Business Administration
16,Male,59.0,69.5,22.6,Civil Engineering,0,Not Admitted
21,Other,88.9,82.0,33.0,Civil Engineering,0,Not Admitted
16,Female,95.8,67.5,66.5,Artificial Intelligence and Machine Learning,1,Civil Engineering
16,Female,95.4,91.8,23.6,Computer Science,0,Not Admitted
17,Other,70.9,98.2,50.1,Computer Science,1,Business Administration
17,Male,97.4,90.5,87.1,Mechanical Engineering,1,Computer Science
19,Male,52.2,45.7,26.0,Civil Engineering,0,Not Admitted
20,Male,99.0,98.8,64.4,Civil Engineering,1,Electronics
16,Female,85.9,65.4,39.3,Computer Science,0,Not Admitted
16,Female,96.5,77.7,38.3,Electronics,0,Not Admitted
21,Female,59.5,46.2,59.9,Mechanical Engineering,0,Not Admitted
20,Female,73.1,91.0,64.2,Biotechnology,1,Electronics
20,Male,87.8,76.9,58.4,Biotechnology,1,Electronics
19,Female,83.0,56.5,30.9,Biotechnology,0,Not Admitted
18,Other,77.8,79.4,64.4,Artificial Intelligence and Machine Learning,1,Electronics
19,Female,63.8,72.8,82.7,Business Administration,1,Mechanical Engineering
17,Male,73.3,82.7,83.7,Artificial Intelligence and Machine Learning,1,Computer Science
21,Male,86.5,48.6,23.7,Artificial Intelligence and Machine Learning,0,Not Admitted
18,Other,62.8,79.2,39.2,Computer Science,0,Not Admitted
19,Male,69.8,76.6,52.0,Mechanical Engineering,1,Business Administration
20,Female,92.2,72.8,97.8,Mechanical Engineering,1,Mechanical Engineering
20,Female,47.2,54.1,42.3,Civil Engineering,0,Not Admitted
21,Female,74.6,73.9,48.5,Computer Science,1,Business Administration
16,Other,72.2,82.3,23.1,Computer Science,0,Not Admitted
20,Male,82.1,72.6,32.6,Artificial Intelligence and Machine Learning,0,Not Admitted
19,Other,91.9,49.6,67.8,Business Administration,1,Business Administration
21,Female,65.0,71.2,69.5,Civil Engineering,1,Mechanical Engineering
18,Other,48.4,53.0,30.6,Business Administration,0,Not Admitted
17,Female,72.6,73.7,28.6,Mechanical Engineering,0,Not Admitted
19,Female,66.4,50.7,79.0,Business Administration,1,Business Administration
19,Male,62.4,56.4,46.2,Computer Science,1,Business Administration
16,Male,63.5,70.6,48.4,Artificial Intelligence and Machine Learning,1,Business Administration
16,Other,49.7,74.0,66.9,Artificial Intelligence and Machine Learning,1,Business Administration
17,Other,60.3,64.6,71.7,Mechanical Engineering,1,Business Administration
21,Male,98.3,77.7,39.0,Biotechnology,0,Not Admitted
21,Female,64.7,71.3,88.1,Biotechnology,1,Mechanical Engineering
18,Other,54.4,93.4,26.4,Civil Engineering,0,Not Admitted
19,Other,98.0,51.1,51.8,Electronics,1,Business Administration
21,Other,45.3,97.7,59.3,Biotechnology,1,Electronics
18,Male,95.2,75.1,65.7,Electronics,1,Electronics
19,Male,56.1,97.3,76.9,Electronics,1,Electronics
21,Male,58.1,51.2,68.8,Biotechnology,0,Not Admitted
16,Female,53.3,71.0,62.6,Artificial Intelligence and Machine Learning,1,Business Administration
17,Male,69.5,74.6,63.9,Artificial Intelligence and Machine Learning,1,Mechanical Engineering
16,Other,49.7,52.5,20.2,Business Administration,0,Not Admitted
16,Male,70.5,67.2,47.9,Biotechnology,1,Business Administration
18,Male,85.3,67.1,94.6,Artificial Intelligence and Machine Learning,1,Civil Engineering
21,Male,54.8,48.6,79.3,Mechanical Engineering,0,Not Admitted
20,Male,87.9,55.9,33.1,Civil Engineering,0,Not Admitted
